date,permno_a,permno_b,action,side,w_prev,w_new
2018-01-03,84389,87501,enter,1,0.0,0.0038758295927669877
2018-01-03,70826,75837,enter,1,0.0,0.001738104691857427
2018-01-03,91872,92667,enter,-1,0.0,0.0017641673902230512
2018-01-03,48506,91877,enter,1,0.0,0.001639061721556969
2018-01-03,92110,92916,enter,-1,0.0,0.0023088941005125303
2018-01-03,89460,89490,enter,-1,0.0,0.0026429574100741257
2018-01-04,24205,86996,stop,-1,0.005781940279731022,0.0039817253050512865
2018-01-04,78405,80866,stop,-1,0.0009934635006263294,0.0006841472877116453
2018-01-04,14239,14487,stop,-1,0.001072826067685237,0.0007388002115130274
2018-01-04,13407,16093,stop,-1,0.0009707682201092253,0.0006685182136693249
2018-01-04,44601,48506,stop,1,0.0016102921230377312,0.0011089254790992704
2018-01-04,15838,49015,stop,-1,0.0010226418943092997,0.0007042409488128346
2018-01-04,15674,83218,stop,-1,0.0009496920179936516,0.0006540041157648306
2018-01-04,15007,92956,stop,-1,0.0061778724356305135,0.004254383445391306
2018-01-04,83208,92804,stop,-1,0.0016986277325471517,0.0011697576763728735
2018-01-04,13756,14941,stop,-1,0.0013035046399093807,0.0008976566963469909
2018-01-04,15838,77528,stop,-1,0.0013980968288034555,0.0009627974784993189
2018-01-04,14515,75346,stop,-1,0.0020664358184151223,0.001423048214159456
2018-01-04,92110,93116,stop,-1,0.003443195448996765,0.002371151860140906
2018-01-04,13189,14108,stop,-1,0.0018559891218990552,0.0012781243829984995
2018-01-04,91338,92279,stop,-1,0.006177290796061259,0.004253982900093487
2018-01-04,15267,90839,stop,-1,0.008439405592927626,0.005811785176465801
2018-01-04,79678,89056,stop,-1,0.00043348409733497416,0.00029851823370549864
2018-01-04,15041,90050,stop,1,0.0008409553960765996,0.0005791227890602486
2018-01-04,24205,90925,stop,-1,0.007349010073979256,0.00506088578625051
2018-01-04,85789,86382,stop,1,0.006138820704986676,0.004227490524228543
2018-01-04,84389,87501,stop,1,0.0038758295927669877,0.002669084774480732
2018-01-04,70826,75837,stop,1,0.001738104691857427,0.00119694343067809
2018-01-04,91872,92667,stop,-1,0.0017641673902230512,0.001214891472439108
2018-01-04,92110,92916,stop,-1,0.0023088941005125303,0.001590016780166752
2018-01-04,89460,89490,stop,-1,0.0026429574100741257,0.0018200690236728828
2018-01-04,14401,24985,resize,-1,0.01285370403049618,0.01662842499562984
2018-01-04,12376,13034,resize,1,0.01767593868110706,0.022535050615057242
2018-01-04,13437,15573,resize,-1,0.018990865367703908,0.023973264143721952
2018-01-04,15389,91725,enter,-1,0.0,0.00147062259001198
2018-01-04,91777,91781,enter,-1,0.0,0.003945829697371633
2018-01-04,10113,81472,enter,1,0.0,0.009224154198978603
2018-01-04,15906,19828,enter,-1,0.0,0.0020969922185154768
2018-01-04,11363,17658,enter,1,0.0,0.012466059756724681
2018-01-04,87717,91002,enter,1,0.0,0.006174487522145949
2018-01-05,15389,91725,stop,-1,0.00147062259001198,0.001269832972635031
2018-01-05,91777,91781,stop,-1,0.003945829697371633,0.0034070907710483274
2018-01-05,10113,81472,stop,1,0.009224154198978603,0.007964745833557121
2018-01-05,11363,17658,resize,1,0.012466059756724681,0.016211056829327608
2018-01-05,48506,91877,resize,1,0.001639061721556969,0.002532649800798822
2018-01-05,78405,80866,enter,-1,0.0,0.0008673528606128615
2018-01-05,15674,83218,enter,-1,0.0,0.0006826962322644984
2018-01-05,14239,14487,enter,-1,0.0,0.00101011119735153
2018-01-05,13407,16093,enter,-1,0.0,0.0008750808843103261
2018-01-05,44601,48506,enter,1,0.0,0.0012467425578145243
2018-01-05,15007,92956,enter,-1,0.0,0.005706624994746823
2018-01-05,15838,49015,enter,-1,0.0,0.0009643550536262939
2018-01-05,13756,14941,enter,-1,0.0,0.0011709077883800582
2018-01-05,83208,92804,enter,-1,0.0,0.001587520121046359
2018-01-05,15838,77528,enter,-1,0.0,0.0013132933997808214
2018-01-05,14515,75346,enter,-1,0.0,0.001745025825149759
2018-01-05,92110,93116,enter,-1,0.0,0.003235947243145464
2018-01-05,24205,90925,enter,-1,0.0,0.006639140739443339
2018-01-05,15267,90839,enter,-1,0.0,0.007785723275849507
2018-01-05,79678,89056,enter,-1,0.0,0.0004078017627029387
2018-01-05,84389,87501,enter,1,0.0,0.0036418129693395903
2018-01-05,15041,90050,enter,1,0.0,0.0007917369209272462
2018-01-05,85789,86382,enter,1,0.0,0.005676459770519281
2018-01-05,70826,75837,enter,1,0.0,0.0016329567892680301
2018-01-05,92110,92916,enter,-1,0.0,0.0020770273682208518
2018-01-05,13189,14108,enter,-1,0.0,0.0013725802413231286
2018-01-05,91872,92667,enter,-1,0.0,0.0016338976673095087
