date,pnl,tc_cost,positions,gross_turnover,rv_scale,dd_scale,global_scale,turnover_scale,equity,ret
2018-01-02,-0.003945777829598496,0.00020000000000000012,30,0.20000000000000012,1.0,1.0,1.4,0.12666932718723944,-0.003945777829598496,-0.003945777829598496
2018-01-03,0.0004214150448121922,0.00019999999999999998,6,0.19999999999999998,1.0,1.0,1.4,0.48021277707680493,-0.0035243627847863037,0.0004214150448121922
2018-01-04,-0.0010742618976639212,0.0002,30,0.2,1.0,1.0,1.4,0.1494568256347114,-0.004598624682450225,-0.0010742618976639212
2018-01-05,-0.00024872572471189893,0.00020000000000000004,11,0.20000000000000004,1.0,1.0,1.4,0.31135136089013404,-0.004847350407162124,-0.00024872572471189893
2018-01-08,-0.00020865638402704868,0.0002,34,0.2,1.0,1.0,1.4,0.13653375022296743,-0.005056006791189172,-0.00020865638402704868
2018-01-09,0.00203654220958002,0.00019999999999999996,13,0.19999999999999996,1.0,1.0,1.4,0.36046637305490015,-0.0030194645816091522,0.00203654220958002
2018-01-10,0.0018169337654377563,0.00020000000000000004,34,0.20000000000000004,1.0,1.0,1.4,0.1543956059091654,-0.001202530816171396,0.0018169337654377563
2018-01-11,1.2731407462489107e-05,0.00020000000000000006,15,0.20000000000000007,1.0,1.0,1.4,0.3763459523142594,-0.0011897994087089068,1.2731407462489107e-05
2018-01-12,0.004551595581513893,0.00019999999999999996,35,0.19999999999999996,1.0,1.0,1.4,0.14611680266305158,0.003361796172804986,0.004551595581513893
2018-01-16,0.0022460845516502734,0.00020000000000000006,17,0.20000000000000007,1.0,1.0,1.4,0.46708482474166474,0.005607880724455259,0.0022460845516502734
2018-01-17,0.005435937871885933,0.00020000000000000006,36,0.20000000000000007,1.0,1.0,1.4,0.13065532936937727,0.011043818596341192,0.005435937871885933
2018-01-18,0.0006381122058531737,0.00019999999999999998,23,0.19999999999999998,1.0,1.0,1.4,0.25600440651851347,0.011681930802194367,0.0006381122058531737
2018-01-19,-0.0025852009624264317,0.0002000000000000001,38,0.2000000000000001,1.0,1.0,1.4,0.1176245685236114,0.009096729839767935,-0.0025852009624264317
2018-01-22,-0.003110615978443122,0.00020000000000000004,19,0.20000000000000004,1.0,1.0,1.4,0.2393325416886723,0.005986113861324813,-0.003110615978443122
2018-01-23,-0.0007349950652860991,0.0002,41,0.2,1.0,1.0,1.4,0.12373593258916432,0.005251118796038714,-0.0007349950652860991
2018-01-24,0.0014337583187000935,0.00020000000000000004,19,0.20000000000000004,1.0,1.0,1.4,0.2455336314398412,0.0066848771147388075,0.0014337583187000935
2018-01-25,0.0015475251815362265,0.00019999999999999996,41,0.19999999999999996,1.0,1.0,1.4,0.11857704477298693,0.008232402296275034,0.0015475251815362265
2018-01-26,-0.0006217208249264611,0.00019999999999999996,21,0.19999999999999996,1.0,1.0,1.4,0.2485897696581343,0.007610681471348572,-0.0006217208249264611
2018-01-29,0.0032203346755576645,0.00020000000000000004,44,0.20000000000000004,1.0,1.0,1.4,0.11868686649953733,0.010831016146906236,0.0032203346755576645
2018-01-30,0.0005817155583764819,0.00019999999999999996,26,0.19999999999999996,1.0,1.0,1.4,0.19415641023729574,0.011412731705282718,0.0005817155583764819
2018-01-31,0.0007302349113441039,0.00020000000000000004,43,0.20000000000000004,1.0,1.0,1.4,0.13480760306079712,0.012142966616626822,0.0007302349113441039
2018-02-01,0.0004341260416020266,0.0002,26,0.2,1.0,1.0,1.4,0.242667408978191,0.01257709265822885,0.0004341260416020266
