gvkey,iid,gvkeyx,from,thru
010846,16W,150376,2000-01-01,
010846,16W,150377,1995-12-31,1997-09-19
010846,16W,150377,2011-09-19,
010846,16W,150928,2023-05-02,2023-08-03
010846,23W,150262,2020-11-30,
010846,23W,150928,2020-11-30,2023-05-01
010846,23W,150928,2023-08-04,2023-10-31
010991,90W,150061,2023-10-18,
011040,90W,151227,1996-12-31,2000-04-13
011217,02W,150376,2000-01-01,2000-09-15
011217,03W,151227,1991-09-30,1992-12-31
011217,04W,150376,2000-01-01,
011217,04W,151227,1991-09-30,
011749,05W,150376,2000-01-01,
011749,05W,151227,1991-09-30,
012368,05W,151227,1991-09-30,1998-03-27
012368,07W,150376,2000-01-01,2017-06-16
012368,07W,150376,2017-08-15,
012368,07W,151227,1991-09-30,
012383,01W,150267,2000-10-31,
012383,01W,150376,2000-01-01,
012383,01W,150928,2021-05-03,
012384,01W,150377,2005-07-20,2005-12-16
012384,01W,150376,2005-07-20,2005-12-16
012384,04W,150262,2005-07-20,
012384,04W,150377,2005-12-19,
012384,04W,150928,2006-10-27,
012384,04W,150376,2005-12-19,
012616,01W,150192,2006-06-13,
012616,01W,150194,1985-12-31,2025-04-08
012673,01W,150377,1995-12-31,1996-09-20
012673,01W,150377,1999-04-07,
012673,01W,150376,2000-01-01,
012754,01W,151312,2010-06-21,2011-03-18
012826,01W,150376,2000-01-01,2007-08-22
012886,90W,150061,1988-12-31,2005-09-16
012886,90W,150061,2008-03-31,2014-05-01
012886,91W,150061,1996-03-30,2005-09-16
013145,01W,150376,2000-01-01,
013145,04W,150034,2011-07-01,
013145,04W,151232,2011-04-01,
013294,01W,150377,1999-09-20,2000-03-06
013294,01W,150376,2000-01-01,2000-03-08
013312,01W,150061,1988-12-31,
013312,01W,150944,2022-01-31,
013312,03W,150376,2001-06-29,2022-01-30
013312,03W,150377,2006-09-18,2015-09-18
013312,04W,150944,2002-08-01,
013436,01W,150352,1992-12-31,2000-03-30
013436,01W,150376,2000-01-01,2000-04-04
013467,02W,150093,1993-02-23,1993-04-02
013467,04W,150021,1993-12-08,2004-09-30
013467,04W,150093,1993-04-05,2004-06-20
013467,04W,150940,2000-12-31,2004-07-27
013467,04W,150377,1996-09-23,1999-09-17
013467,04W,150378,2000-12-31,2004-07-27
013467,04W,150171,1993-12-08,2004-06-20
013467,04W,150376,2000-01-01,2004-07-27
013498,02W,150376,2024-12-23,
013498,02W,150376,2004-06-21,2021-12-19
013556,01W,150093,2019-06-24,
013556,01W,150021,1993-12-08,
013556,01W,150093,1987-12-31,2006-07-30
013556,01W,150378,2000-12-31,
013556,01W,150171,1993-12-08,
013556,01W,150928,2006-10-27,
013556,01W,150376,2000-01-01,
013636,01W,150376,2001-11-08,2005-05-06
013683,01W,150034,1988-12-31,
013683,01W,151232,1988-12-31,
013683,01W,150940,2000-12-31,2020-09-20
013683,01W,150377,1995-12-31,
013683,01W,150378,2000-12-31,
013683,01W,150376,2000-01-01,
013964,01W,150376,2000-01-01,2011-06-01
013964,01W,150376,2013-06-24,2014-08-06
014087,01W,150377,1995-12-31,1996-09-20
014087,01W,150377,2009-04-15,2016-02-12
014087,01W,150376,2000-01-01,2016-02-12
014140,01W,150034,1988-12-31,
014140,01W,151232,1988-12-31,
014140,01W,150940,2000-12-31,
014140,01W,150270,2015-03-23,
014140,01W,150377,1999-09-20,
014140,01W,150378,2000-12-31,
014140,01W,150376,2000-01-01,
014222,01W,150376,2000-01-01,2013-03-26
014242,01W,150061,1988-12-31,
014261,02W,150377,2000-02-14,2000-12-22
014261,02W,150376,2000-01-01,2000-12-22
014396,01W,150376,2000-01-01,2004-01-31
014446,01W,150270,2004-12-20,2006-01-30
014447,02W,150021,1993-12-08,
014447,02W,150093,1987-12-31,
014447,02W,150940,2000-12-31,
014447,02W,150377,1995-12-31,1997-12-21
014447,02W,150378,2000-12-31,
014447,02W,150171,1993-12-08,
014447,02W,150928,2006-10-27,2023-10-31
014447,02W,150376,2000-01-01,
014447,02W,150377,2011-09-19,
014447,02W,150928,2025-05-02,
014605,01W,150376,2000-01-01,
014611,01W,150376,2000-01-01,2018-06-15
014620,02W,150376,2000-01-01,2025-06-22
014620,02W,151227,1991-09-30,2025-06-29
014802,01W,150061,1988-12-31,
014894,01W,150377,1999-09-20,
014894,01W,150376,2000-01-01,
014935,01W,150061,1988-12-31,1999-02-08
014977,01W,150061,1988-12-31,2001-08-10
014977,01W,150061,2001-09-03,2007-11-09
015103,01W,150376,2000-01-01,2007-03-29
015103,03W,150262,2000-01-19,2001-06-15
015103,03W,150928,2006-10-27,2007-04-05
015105,01W,150051,1988-02-05,2000-08-17
015172,01W,150352,1992-12-31,2009-05-29
015172,01W,150378,2000-12-31,2010-12-17
015172,01W,150376,2000-01-01,2021-01-17
015172,01W,150378,2014-10-13,
015172,02W,150376,2000-01-01,2000-03-17
015179,01W,150376,2000-01-01,2000-05-08
015181,03W,150034,1988-12-31,
015181,03W,151232,1988-12-31,
015181,03W,150940,2000-12-31,2020-09-20
015181,03W,150377,1995-12-31,
015181,03W,150378,2000-12-31,
015181,03W,150376,2000-01-01,
015181,03W,150940,2021-09-20,
015319,01W,150034,1989-12-31,
015319,01W,151232,1989-12-31,
015319,01W,150940,2000-12-31,2015-09-18
015319,01W,150378,2000-12-31,
015319,01W,150376,2000-01-01,
015321,01W,150034,1988-12-31,
015321,01W,151232,1988-12-31,2013-12-20
015321,01W,150940,2000-12-31,2007-10-09
015321,01W,150377,1995-12-31,1999-09-17
015321,01W,150378,2000-12-31,2007-10-09
015321,01W,150378,2008-09-22,
015321,01W,150376,2008-09-17,
015321,01W,150376,2000-01-01,2007-10-09
015321,01W,151232,2014-12-19,
015334,01W,150262,1994-02-01,
015334,01W,150378,2000-12-31,
015334,01W,150928,2006-10-27,
015334,01W,150376,2000-01-01,
015362,01W,150061,1988-12-31,
015362,02W,151312,2005-11-02,
015406,01W,150352,1992-12-31,1999-03-19
015406,01W,150378,2000-12-31,2003-09-19
015406,01W,150376,2000-01-01,2003-09-21
015444,01W,150378,2001-01-02,
015444,01W,150376,2000-01-01,2023-09-17
015444,01W,150940,2009-09-21,2014-09-19
015444,01W,150928,2019-05-02,2023-09-24
015444,01W,150940,2016-09-19,2023-09-17
015444,02W,150376,2023-09-18,2024-06-23
015482,01W,150021,1993-12-08,1999-07-22
015482,01W,150171,1993-12-08,1999-07-22
015482,02W,150021,1999-07-23,2003-07-18
015482,02W,150093,1999-09-07,2003-05-21
015482,02W,150378,2000-12-31,2003-06-20
015482,02W,150171,1999-07-23,2003-05-21
015482,02W,150376,2000-01-01,2003-06-22
015483,01W,150069,2000-03-28,
015483,01W,150192,1992-09-30,
015483,01W,150194,1985-12-31,2025-04-08
015484,01W,150069,1985-12-31,2001-03-26
015484,01W,150192,1992-09-30,2001-03-26
015484,01W,150194,1985-12-31,2001-03-26
015496,01W,150007,1993-07-30,2014-05-13
015496,01W,150356,1993-07-14,2008-12-19
015496,01W,150378,2000-12-31,2006-09-15
015496,01W,150376,2000-09-18,2006-09-15
015496,01W,153256,2006-07-24,2008-12-19
015496,02W,150007,1993-07-30,1999-06-28
015497,03W,150280,2001-11-28,2002-10-25
015498,01W,150051,1985-12-31,
015499,01W,150194,1985-12-31,1998-08-22
015504,03W,150262,1994-02-01,2007-10-10
015504,03W,150940,2000-12-31,2007-10-12
015504,03W,150377,1995-12-31,2007-10-12
015504,03W,150378,2000-12-31,2007-10-12
015504,03W,150928,2006-10-27,2007-12-21
015504,03W,150376,2000-01-01,2007-10-12
015505,01W,150940,2005-06-30,2007-09-21
015505,01W,150928,2023-11-01,
015505,01W,150378,2000-12-31,2010-09-17
015505,01W,150376,2000-01-01,2010-09-17
015505,01W,150928,2019-05-02,2020-05-03
015505,01W,150376,2022-11-30,
015505,01W,150376,2017-09-18,2020-03-22
015508,01W,150944,2002-08-01,
015508,02W,150377,2003-09-22,2013-06-21
015508,02W,150376,2000-03-20,
015508,02W,150944,2025-06-02,
015509,02W,150377,1999-09-20,
015509,02W,150376,2000-01-01,
015509,06W,150051,1985-12-31,
015511,01W,150194,1985-12-31,2003-09-18
015511,02W,150194,2003-09-29,2025-04-08
015512,02W,150376,2000-01-01,2000-09-15
015512,02W,150376,2000-12-18,2001-01-04
015512,03W,150262,2018-03-19,2021-12-19
015512,03W,150376,2017-09-18,
015512,03W,150262,2023-03-20,
015512,03W,150928,2024-05-02,
015513,01W,150340,1989-10-31,1993-12-02
015515,01W,151232,1988-12-31,1998-04-15
015515,01W,151232,2004-01-02,2005-06-30
015515,01W,150034,1988-12-31,1998-04-15
015515,01W,150034,2002-07-22,2013-05-06
015515,01W,151232,2006-08-01,2011-01-02
015516,01W,150352,1992-12-31,2001-03-16
015516,01W,150376,2000-01-01,2001-05-01
015518,01W,150007,1993-07-30,2014-04-30
015518,01W,150356,1985-12-31,2008-03-25
015518,01W,150378,2000-12-31,2002-03-15
015518,01W,150376,2000-01-01,2002-03-17
015518,01W,153256,2007-12-31,2008-03-28
015519,01W,150061,1988-12-31,1995-04-27
015520,01W,150376,2000-09-18,2008-09-10
015522,01W,151232,1988-12-31,2017-06-09
015522,01W,150034,1988-12-31,2017-06-09
015522,01W,150378,2000-12-31,2017-06-09
015522,01W,150376,2000-01-01,2017-06-09
015523,01W,151232,1988-12-31,1992-01-15
015523,01W,150034,1988-12-31,1992-01-31
015525,01W,150069,1985-12-31,1996-03-29
015525,01W,150192,1992-09-30,1996-03-29
015525,01W,150194,1985-12-31,1996-03-29
015528,01W,150376,2000-01-01,2001-09-09
015530,01W,150051,1985-12-31,2018-09-06
015531,02W,150280,2001-11-28,
015531,02W,150376,2020-06-22,2021-06-20
015531,02W,150376,2011-09-19,2014-03-21
015531,02W,150376,2022-09-19,
015532,04W,150940,2000-12-31,
015532,04W,150021,1993-12-08,
015532,04W,150093,1993-11-17,
015532,04W,150377,2000-09-18,
015532,04W,150378,2000-12-31,
015532,04W,150171,1993-12-08,
015532,04W,150928,2006-10-27,
015532,04W,150376,2000-01-01,
015535,01W,150280,2001-11-28,
015537,01W,150940,2000-12-31,2003-09-19
015537,01W,150007,1993-07-30,2008-09-17
015537,01W,150356,1985-12-31,2007-01-29
015537,01W,150095,1988-07-31,2005-12-18
015537,01W,150378,2000-12-31,2006-06-16
015537,01W,150376,2000-01-01,2006-06-16
015538,03W,150267,2000-10-31,2021-07-01
015538,03W,150376,2000-01-01,2017-07-16
015538,03W,150928,2021-05-03,2021-07-01
015538,08W,150376,2017-07-17,2021-07-01
015540,01W,150376,2000-01-01,2003-03-23
015540,01W,150376,2004-06-21,2008-04-29
015544,01W,150007,1993-07-30,2007-07-09
015544,01W,150356,1985-12-31,2000-03-17
015544,01W,150376,2000-01-01,2000-03-17
015544,02W,150007,1993-07-30,2007-07-09
015545,02W,150377,2000-09-18,2007-09-21
015545,02W,150376,2000-01-01,
015546,01W,150021,1993-12-08,1997-03-07
015546,01W,150021,2004-04-27,2004-11-09
015546,01W,150093,1987-12-31,1995-11-13
015546,01W,150171,1993-12-08,1996-06-27
015547,01W,150021,1993-12-08,2004-12-31
015547,01W,150021,2005-09-01,2021-07-13
015547,01W,150378,2001-12-24,
015547,01W,150171,1993-12-08,2021-07-13
015547,01W,150928,2007-07-02,2021-07-20
015547,01W,150376,2001-12-24,2021-07-13
015547,01W,150093,2010-09-20,2011-09-16
015548,02W,150343,1995-11-16,1996-08-29
015548,03W,150343,1995-11-16,1998-09-24
015548,03W,150151,1995-09-01,1998-09-24
015548,04W,150343,1996-08-30,1998-07-17
015548,04W,150151,1992-11-30,1998-07-17
015549,01W,150352,1992-12-31,2009-05-29
015549,01W,150940,2000-12-31,2016-09-16
015549,01W,150377,2006-09-18,2011-09-16
015549,01W,150378,2000-12-31,
015549,01W,150376,2000-01-01,
015549,01W,150940,2023-02-27,
015549,01W,150928,2023-05-02,
015549,03W,150270,2009-05-14,
015550,01W,150069,1985-12-31,2000-09-21
015550,01W,150192,1992-09-30,2000-09-21
015550,01W,150194,1985-12-31,2000-09-21
015551,01W,150194,1985-12-31,2010-03-26
015552,01W,150340,1989-10-31,
015552,01W,150376,2000-01-01,
015553,01W,150194,1985-12-31,2010-03-26
015556,01W,150069,1985-12-31,2000-09-21
015556,01W,150192,1992-09-30,2000-09-21
015556,01W,150194,1985-12-31,2000-09-21
015560,01W,150194,1985-12-31,2011-07-28
015562,01W,150280,2001-11-28,
015565,01W,150067,2002-01-25,2006-03-08
015567,01W,150194,1985-12-31,2025-04-08
015569,01W,150021,1993-12-08,1997-06-30
015569,01W,150093,1988-06-10,1997-06-27
015569,01W,150171,1993-12-08,1997-06-30
015570,01W,150021,1993-12-08,1997-12-31
015570,01W,150093,1987-12-31,1997-12-19
015570,01W,150171,1993-12-08,1997-12-31
015573,01W,150152,1993-01-04,1997-12-19
015575,01W,150007,1993-07-30,
015575,01W,150356,1985-12-31,
015575,01W,150095,1988-07-31,2018-09-20
015575,01W,150378,2000-12-31,
015575,01W,150376,2000-01-01,
015575,01W,153256,2018-09-25,2023-02-23
015575,01W,150095,2023-02-27,
015576,01W,150940,2000-12-31,2018-09-23
015576,01W,150007,1993-07-30,
015576,01W,150356,1985-12-31,
015576,01W,150095,1988-07-31,
015576,01W,150377,1995-12-31,2016-08-05
015576,01W,150378,2000-12-31,
015576,01W,150376,2000-01-01,
015577,01W,150940,2000-12-31,2001-07-20
015577,01W,150007,1993-07-30,2001-07-20
015577,01W,150007,2001-09-20,2002-07-12
015577,01W,150356,1985-12-31,2001-07-20
015577,01W,150095,1988-07-31,2001-07-20
015577,01W,150376,2000-01-01,2001-07-22
015578,01W,150007,1993-07-30,2013-03-13
015578,01W,150356,2002-09-23,2003-03-21
015579,01W,150069,2000-09-22,
015579,01W,150192,2003-05-01,
015579,01W,150194,1985-12-31,2025-04-08
015589,01W,150021,1993-12-08,1998-06-03
015589,01W,150093,1987-12-31,1998-06-03
015589,01W,150171,1993-12-08,1998-06-03
015589,02W,150021,1999-10-27,1999-11-10
015589,02W,150093,1998-06-04,1999-02-22
015589,02W,150171,1998-07-21,1999-06-15
015589,02W,150171,1999-10-27,1999-11-10
015590,01W,150280,2001-11-28,
015592,01W,150152,1990-12-31,1998-07-01
015593,01W,150352,1992-12-31,2009-05-29
015593,01W,150928,2023-11-01,
015593,01W,150378,2000-12-31,
015593,01W,150376,2000-01-01,
015594,01W,150376,2000-01-01,2000-08-01
015596,01W,150280,2001-11-28,
015598,01W,150262,1994-02-01,
015598,01W,150940,2000-12-31,2009-09-18
015598,01W,150377,1995-12-31,2004-09-19
015598,01W,150378,2000-12-31,
015598,01W,150928,2006-10-27,2020-11-01
015598,01W,150376,2000-01-01,
015598,01W,150928,2021-11-01,2023-05-01
015598,01W,150928,2024-05-02,
015599,01W,150007,1993-07-30,1998-09-02
015599,01W,150356,1985-12-31,1998-09-02
015599,01W,150095,1988-07-31,1998-06-18
015600,01W,150340,1989-10-31,1992-12-02
015600,01W,150340,1993-12-03,1994-12-02
015600,01W,150340,1995-12-04,2000-08-16
015600,01W,150340,2001-01-02,2005-12-16
015600,01W,150340,2006-06-19,2007-06-17
015600,01W,150376,2001-12-24,2019-09-22
015600,01W,150340,2008-06-30,2008-12-19
015600,01W,150340,2009-12-21,2010-12-17
015600,01W,150340,2022-06-20,
015600,01W,150376,2022-06-23,
015600,01W,150340,2014-06-23,2019-06-24
015601,01W,150069,1998-09-30,2002-02-22
015601,01W,150192,1992-09-30,2002-02-22
015601,01W,150194,1985-12-31,2002-02-22
015602,01W,150376,2000-01-01,
015603,01W,150376,2000-01-01,
015608,01W,160134,1988-04-29,1989-07-31
015608,02W,160134,1988-04-29,1989-07-31
015608,02W,160134,1990-08-01,1992-07-31
015608,04W,160134,1990-02-01,2005-10-19
015608,04W,150022,2001-01-15,2006-01-12
015609,01W,150067,2001-06-18,2001-08-31
015610,01W,150194,1985-12-31,2002-03-25
015611,02W,150061,1988-12-31,1989-09-28
015613,01W,150069,1985-12-31,
