gvkey,iid,gvkeyx,from,thru
201391,01W,150072,1995-03-07,2007-01-29
201392,01W,150072,1995-03-07,2003-12-05
201392,01W,150072,2004-02-09,2007-01-29
201392,01W,150072,2009-01-05,
201393,01W,150072,1995-03-07,
201394,01W,150072,1995-03-07,2002-01-04
201394,01W,150072,2002-06-18,
201395,01W,150072,1995-03-07,
201396,01W,150072,1995-03-07,
201397,01W,150072,1995-03-07,
201398,01W,150072,1995-03-07,2014-09-26
201398,01W,150072,2014-12-01,2016-08-02
201398,01W,150072,2016-10-03,
201399,01W,150072,1995-03-07,2010-11-29
201399,01W,150072,2011-02-01,
201400,01W,150072,1995-03-07,
201402,01W,151312,2003-06-20,2017-03-16
201402,01W,151312,2022-04-29,2025-06-19
201402,02W,150061,2008-03-31,2011-05-30
201404,01W,115114,1993-07-01,2000-09-06
201404,01W,150077,2000-09-07,2014-09-18
201404,01W,150194,2014-09-19,2025-01-16
201405,01W,115114,1992-05-01,2021-11-17
201406,01W,115114,1992-05-01,1999-05-24
201407,01W,115114,1994-09-01,1997-01-03
201407,01W,150077,1997-01-06,2003-08-01
201408,01W,115114,1992-05-01,2021-02-24
201409,01W,115114,1993-05-03,1996-09-27
201409,01W,150077,1995-12-21,1997-08-29
201409,01W,150194,1997-09-01,2025-04-08
201409,01W,160136,1997-09-01,
201410,01W,115114,1992-05-01,1997-07-31
201410,01W,150077,1997-08-01,2005-05-31
201410,01W,150194,2005-06-01,2025-04-08
201411,01W,115114,1992-08-03,2016-12-08
201411,01W,150194,2017-03-23,2025-01-30
201412,01W,115114,1992-05-01,1995-07-28
201413,01W,115114,1994-06-01,1998-09-09
201413,01W,150077,1998-09-10,2000-04-28
201413,01W,150194,2000-05-01,2025-01-30
201414,01W,115114,1992-05-01,2000-12-29
201416,01W,115114,1992-05-01,1998-02-13
201416,01W,150077,1998-02-16,2000-08-31
201416,01W,150194,2000-09-01,2017-01-03
201417,01W,115114,1994-07-01,2022-04-03
201418,01W,115114,1994-11-01,1996-03-12
201418,01W,150077,1996-03-13,2019-07-03
201425,01W,115114,1992-05-01,1996-09-27
201425,01W,150077,1995-09-13,2002-02-28
201425,01W,150194,2002-03-01,2025-04-08
201426,01W,115114,1992-05-01,2008-12-30
201427,01W,115114,1993-05-03,2022-04-03
201428,01W,115114,1994-03-01,2007-03-15
201429,01W,115114,1992-05-01,1996-10-01
201430,01W,115114,1994-08-01,1996-09-04
201430,01W,150077,1996-09-05,2004-08-31
201430,01W,150194,2004-09-01,2025-04-08
201431,01W,115114,1992-05-01,2009-10-15
201432,01W,150072,1995-03-07,
201433,01W,115114,1994-12-01,1998-11-16
201433,01W,150077,2000-09-19,2022-04-03
201434,01W,115114,1992-05-01,2022-04-03
201435,01W,115114,1992-05-01,1999-09-24
201436,01W,115114,1992-05-01,2022-04-03
201440,01W,115114,1994-07-01,2008-03-28
201440,01W,150077,2008-03-31,2009-02-26
201440,01W,150194,2009-03-31,2025-04-08
201441,01W,115114,1995-01-02,1997-02-25
201441,01W,150077,1997-02-26,1999-10-29
201441,01W,150194,1999-11-01,2004-12-17
201442,01W,115114,1994-10-03,1998-01-15
201442,01W,150077,1994-10-16,2000-02-29
201442,01W,150194,2000-03-01,2025-04-08
201443,01W,115114,1994-07-01,1998-12-24
201444,01W,115114,1992-05-01,2022-04-03
201445,01W,115114,1992-05-01,2006-02-22
201446,01W,115114,1994-08-01,2022-04-03
201448,01W,115114,1992-05-01,2014-11-18
201448,01W,150194,2015-08-26,
201448,01W,150077,2014-11-19,2015-08-25
201449,01W,115114,1992-05-01,2000-11-16
201450,01W,115114,1992-05-01,2007-01-29
201450,01W,150077,2007-01-31,2007-12-24
201450,01W,150194,2008-01-31,2025-01-30
201451,01W,115114,1994-07-01,1998-09-28
201451,01W,150077,1998-09-29,2000-05-31
201451,01W,150194,2000-06-01,2010-05-10
201452,01W,115114,1995-01-02,2002-05-01
201453,01W,115114,1994-07-01,2003-12-23
201453,01W,150077,2004-01-27,2010-05-03
201454,01W,115114,1994-10-03,2022-04-03
201455,01W,115114,1994-05-02,2022-04-03
201456,01W,150072,1995-03-07,2006-01-13
201457,01W,115114,1992-05-01,2022-04-03
201458,01W,150072,1995-03-07,2001-05-07
201459,01W,150072,1995-03-07,
201460,01W,115114,1992-05-01,2001-03-29
201460,01W,150077,2001-03-30,2002-07-31
201460,01W,150194,2002-08-01,2025-04-08
201461,01W,115114,1992-05-01,2022-04-03
201462,01W,115114,1994-05-02,1996-07-10
201462,01W,150077,1996-07-11,2017-11-20
201462,01W,150194,2017-11-21,
201463,01W,115114,1992-05-01,2008-04-29
201464,01W,115114,1992-05-01,2022-04-03
201465,01W,115114,1994-07-01,2022-04-03
201466,01W,115114,1992-05-01,2018-05-01
201467,01W,115114,1994-10-03,2015-02-27
201468,01W,115114,1993-08-02,2020-02-17
201469,01W,115114,1992-05-01,2015-02-27
201470,01W,115114,1992-05-01,2022-04-03
201471,01W,115114,1992-05-01,1998-09-24
201472,01W,115114,1995-01-02,1999-01-22
201472,01W,150077,1999-01-25,2000-04-28
201472,01W,150194,2000-05-01,2025-04-08
201473,01W,115114,1994-06-01,2008-10-30
201474,01W,115114,1992-05-01,2000-12-25
201474,01W,150077,2000-12-26,2002-08-30
201474,01W,150194,2002-09-02,2006-09-25
201475,01W,115114,1992-05-01,2000-07-18
201475,01W,150077,2000-07-19,2005-11-30
201475,01W,150194,2006-01-04,2025-01-30
201476,01W,115114,1994-07-01,1997-01-03
201476,01W,150077,1997-01-06,1999-05-31
201476,01W,150194,1999-06-01,2025-04-08
201477,01W,115114,1994-04-01,2008-03-28
201477,01W,150077,2009-05-29,2010-05-30
201477,01W,150194,2010-05-31,2025-04-08
201478,01W,115114,1994-09-01,2022-04-03
201479,01W,115114,1992-05-01,2022-04-03
201480,01W,115114,1992-08-03,2002-03-26
201481,01W,115114,1992-05-01,1998-06-26
201481,01W,150077,1998-06-29,2003-02-28
201481,01W,150194,2003-03-03,2025-01-30
201482,01W,115114,1994-08-01,1997-05-07
201482,01W,150077,1997-05-08,1999-01-29
201482,01W,150194,1999-02-01,2025-04-08
201483,01W,115114,1992-05-01,2008-09-29
201484,01W,115114,1992-05-01,2011-08-02
201485,01W,115114,1992-05-01,2002-02-04
201486,01W,115114,1992-05-01,1997-12-29
201486,01W,150077,1997-12-30,2000-08-31
201486,01W,150194,2000-09-01,2009-02-23
201488,01W,115114,1992-05-01,1997-09-10
201488,01W,150077,1997-09-11,1999-08-31
201488,01W,150194,1999-09-01,2025-04-08
201489,01W,115114,1992-05-01,2007-04-03
201490,01W,150072,1995-03-07,2007-01-29
201491,01W,115114,1992-05-01,1999-12-06
201491,01W,150194,1999-12-08,2025-04-08
201491,01W,150069,2024-04-02,
201492,01W,150194,2014-09-26,2024-05-15
201492,01W,115114,1994-10-03,2014-02-24
201493,01W,115114,1994-05-02,2022-04-03
201494,01W,115114,1994-08-01,2003-03-10
201495,01W,115114,1992-05-01,2004-09-24
201496,01W,115114,1992-05-01,2000-10-02
201497,01W,115114,1994-03-01,2005-04-08
201497,01W,150077,2005-05-12,2006-02-28
201497,01W,150194,2006-04-03,2015-05-08
201498,01W,115114,1995-01-23,2006-08-10
201499,01W,115114,1992-05-01,2022-04-03
201500,01W,150355,2002-01-31,2003-06-12
201501,01W,150355,1995-06-07,2002-06-17
201502,01W,150355,1995-06-07,2002-01-30
201502,01W,150355,2004-06-12,2008-06-15
201502,01W,150355,2012-06-14,2015-06-11
201503,01W,150355,1995-06-07,2002-01-30
201504,01W,150355,2002-01-31,2003-06-12
201504,01W,150355,2020-12-11,
201507,01W,150194,1985-12-31,2002-07-10
201508,01W,150077,1993-10-25,2022-04-03
201509,01W,150194,1993-08-11,2025-04-08
201510,01W,150194,1985-12-31,2000-08-27
201512,01W,150194,1985-12-31,2022-04-03
201512,01W,160136,1994-01-01,2022-04-03
201516,01W,150077,1987-06-30,2022-04-03
201518,01W,150194,1985-12-31,2025-01-30
201519,01W,150194,1985-12-31,2011-04-25
201522,01W,150194,1985-12-31,2025-04-08
201524,01W,150194,1985-12-31,2016-07-27
201525,01W,150194,2002-03-29,2025-04-08
201525,02W,150077,1987-06-30,1990-08-31
201525,02W,150194,1990-09-03,2002-03-20
201526,01W,150077,1990-02-28,1996-09-06
201527,01W,150194,1985-12-31,2025-04-08
201528,01W,150077,1987-06-30,2006-10-02
201529,01W,150077,1991-11-29,2022-04-03
201530,01W,150033,1993-12-01,2003-05-09
201533,01W,150194,1988-02-17,2025-04-08
201535,01W,150352,2003-08-04,2003-09-19
201535,01W,150352,2003-12-24,2004-03-19
201535,01W,150378,2000-12-31,2007-03-16
201535,01W,150376,2000-01-01,2007-03-16
201537,01W,150194,2013-08-30,
201538,01W,150194,1985-12-31,2025-04-08
201540,01W,150077,1987-06-30,2020-06-02
201541,01W,150194,1985-12-31,1997-09-29
201542,01W,150077,1987-12-31,2004-10-26
201543,01W,150192,1994-12-31,
201543,01W,150194,1992-03-02,2025-04-08
201543,01W,160136,2022-10-03,
201544,01W,150077,1987-06-30,2003-06-03
201545,01W,150194,1985-12-31,2001-03-26
201545,01W,160136,1994-01-01,2001-03-26
201546,01W,150077,1987-06-30,2022-04-03
201547,01W,150077,1991-12-31,1997-05-30
201547,01W,150194,1997-06-02,2025-04-08
201548,01W,150077,1987-06-30,2022-04-03
201555,02W,150061,2023-03-20,
201559,01W,150061,2001-09-03,2007-04-30
201560,01W,150194,1985-12-31,2002-04-23
201561,01W,151210,1995-08-15,2005-03-31
201561,01W,151210,2007-05-01,2008-10-30
201561,01W,151210,2013-05-29,2015-09-18
201565,01W,150061,1988-12-31,1990-06-28
201568,01W,150061,1994-02-28,1997-11-07
201579,01W,150061,1988-12-31,2001-03-29
201583,01W,150012,1988-12-31,1996-10-11
201584,01W,150069,2000-04-24,
201584,01W,150192,1996-10-02,
201584,01W,150077,1993-09-03,1995-08-31
201584,01W,150194,1995-09-01,2025-04-08
201597,01W,150061,1988-12-31,2001-12-17
201599,01W,150061,1988-12-31,1998-03-04
201601,01W,150077,1987-06-30,1990-10-31
201601,01W,150194,1990-11-01,2025-04-08
201604,01W,150051,2004-09-06,2006-03-03
201605,01W,150077,1987-06-30,2000-02-29
201605,01W,150194,2000-03-01,2025-04-08
201606,01W,150376,2007-04-18,
201609,01W,150267,2000-10-31,2000-12-30
201616,01W,150061,1991-06-27,1997-06-27
201616,01W,150061,2001-09-03,2003-12-30
201616,01W,150061,2013-03-18,2014-03-21
201626,01W,150077,1989-12-26,2009-01-20
201627,01W,150077,1993-08-19,2001-08-31
201627,01W,150194,2001-09-03,2004-12-15
201628,01W,150077,1987-06-30,1988-08-31
201628,01W,150194,1988-09-01,2025-04-08
201628,01W,150192,2010-10-01,
201633,01W,150343,1999-07-09,2001-12-31
201633,01W,150343,2007-07-23,2024-12-01
201633,01W,150151,2017-09-18,2022-11-22
201639,01W,150061,1988-12-31,1989-05-29
201642,01W,150033,1995-08-28,2002-01-30
201642,01W,150033,2005-11-30,2009-07-03
201644,01W,150061,1992-06-24,2001-08-10
201644,01W,150061,2001-09-03,2008-03-28
201648,01W,150077,1987-06-30,2022-04-03
201650,01W,150376,2000-01-01,2000-06-16
201650,01W,150376,2000-09-18,2017-03-17
201652,01W,150021,1993-12-08,1994-12-08
201662,01W,150072,1993-09-01,2003-10-02
201662,01W,150072,2004-02-09,
201664,01W,150355,2023-12-15,
201665,01W,150355,1995-06-07,2020-12-09
201666,01W,150355,2025-06-13,
201666,01W,150355,1995-06-07,2002-01-30
201666,01W,150355,2003-06-13,2006-06-09
201666,01W,150355,2009-06-12,2018-01-08
201668,01W,150355,1995-06-07,2013-06-14
201668,01W,150355,2020-06-15,2024-12-11
201669,01W,150061,2024-03-18,
201672,01W,150355,1995-06-07,2002-01-22
201673,01W,151312,2023-12-18,
201676,01W,150376,2008-06-23,2008-12-19
201676,01W,150378,2008-06-23,2008-12-19
201676,01W,150376,2009-10-01,2011-12-16
201676,01W,150378,2009-10-01,2011-12-16
201683,01W,150061,1998-12-31,2007-01-29
201686,01W,150007,1993-07-30,2007-04-26
201688,01W,150007,1993-07-30,2008-10-30
201690,01W,150007,1993-07-30,2014-10-29
201691,01W,150007,1993-07-30,2017-08-22
201694,01W,151210,1995-08-15,1998-06-28
201701,01W,150012,1989-03-09,1996-10-11
201705,01W,150086,1996-03-29,2000-10-27
201705,01W,150086,2007-08-31,2009-10-07
201707,01W,150007,1993-07-30,
201712,01W,150033,1990-04-20,1994-12-30
201713,01W,150021,1993-12-08,1994-06-07
201713,01W,150021,1996-08-30,2001-11-26
201713,01W,150021,2013-06-28,2013-07-04
201717,01W,150194,1985-12-31,2025-01-30
201720,01W,150061,2001-09-03,2001-10-24
201720,01W,150061,2001-11-19,2019-11-14
201721,01W,150072,1993-09-01,2000-09-07
201726,01W,150061,1998-12-31,2001-08-10
201726,01W,150061,2001-09-03,2007-01-29
201727,01W,150069,2000-04-24,
201727,01W,150192,1996-10-02,
201727,01W,150194,1993-10-27,2025-04-08
201728,01W,150061,2001-09-03,2021-04-26
201739,02W,151312,2006-06-21,
201739,03W,150061,2020-06-22,
201742,01W,150061,2003-04-01,2011-03-04
201749,01W,150007,1993-07-30,2002-07-29
201752,01W,150280,2001-11-28,2011-08-15
201752,02W,150280,2001-11-28,2002-10-25
201756,01W,150270,2007-05-01,2009-04-29
201756,01W,150270,2011-02-01,2011-10-05
201756,01W,150270,2014-09-22,
201764,01W,150194,1987-02-16,2025-04-08
201765,01W,150007,1993-07-30,2000-08-14
201766,01W,150077,1998-12-30,2000-02-29
201766,01W,150194,2000-03-01,2002-03-20
201770,01W,150194,1985-12-31,2019-03-27
201772,01W,150077,1990-01-29,2002-02-28
201772,01W,150194,2002-03-01,2025-04-08
201778,02W,150061,1995-04-10,2001-08-10
201778,02W,150061,2001-09-03,2003-08-01
201779,01W,150061,2001-09-03,2008-03-28
201790,01W,150270,1993-06-18,2007-01-29
201790,01W,150270,2007-05-01,2008-01-21
201792,01W,150086,1996-03-29,2016-01-04
201792,01W,150086,2017-01-02,
201792,02W,150086,1996-03-29,2015-09-07
201792,02W,150086,2017-05-02,
201794,01W,150352,1999-12-20,2009-05-29
201794,01W,150940,2000-12-31,
201794,01W,150377,2000-03-20,2000-09-15
201794,01W,150378,2000-12-31,
201794,01W,150376,2000-03-20,
201794,01W,150928,2023-05-02,
201802,02W,150376,2000-12-11,2002-09-22
201805,01W,150184,2004-05-19,
201805,01W,150012,2004-05-19,
201811,01W,150194,1985-12-31,2002-04-19
201820,01W,150021,2005-01-03,2006-12-15
201821,01W,150077,2013-08-30,2022-04-03
201822,01W,115114,1992-05-01,2017-12-25
201822,01W,150077,2017-12-26,
201822,01W,150194,2018-11-09,2025-01-30
201823,01W,115114,1992-05-01,1995-07-28
201824,01W,115114,1992-05-01,2005-09-26
201825,01W,115114,1992-05-01,2000-10-05
201826,01W,115114,1992-05-01,2021-07-05
201827,01W,150072,1995-03-07,2006-05-11
201828,01W,115114,1994-09-01,2003-02-14
201828,01W,150077,2003-02-17,2004-02-28
201828,01W,150194,2004-03-01,2025-04-08
201829,01W,115114,1995-01-02,1998-11-19
201829,01W,150077,1998-11-20,2003-11-25
201830,01W,115114,1992-05-01,2014-01-23
201830,01W,150194,2014-10-02,
201830,01W,150077,2013-09-30,2014-09-30
201831,01W,115114,1992-05-01,2013-07-17
201832,01W,115114,1992-05-01,2003-04-02
201833,01W,115114,1994-07-01,2007-01-29
201833,01W,150077,2006-12-29,2014-09-10
201833,01W,150194,2014-09-11,2025-01-30
201834,01W,115114,1992-05-01,2001-01-17
201834,01W,150077,2001-01-18,2003-01-31
201834,01W,150194,2003-02-03,2015-03-31
201835,01W,115114,1994-01-03,2010-11-19
201836,01W,115114,1992-06-01,2022-04-03
201837,01W,115114,1992-05-01,2022-04-03
201838,01W,115114,1992-05-01,2022-04-03
201839,01W,115114,1994-05-02,2003-08-07
201839,01W,150077,2003-08-08,2013-05-29
201839,01W,150194,2013-05-30,2025-01-30
201840,01W,115114,1993-11-01,2002-12-23
201840,01W,150077,2002-12-24,2004-02-28
201840,01W,150194,2004-03-01,2025-04-08
201841,01W,115114,1994-11-01,2004-03-01
201841,01W,150077,2004-04-02,2005-02-28
201841,01W,150194,2005-03-01,2025-04-08
201842,01W,115114,1994-04-01,2002-11-04
201843,01W,115114,1994-03-01,1997-07-31
201843,01W,150077,1997-08-01,1997-09-29
201843,01W,150077,2002-04-15,2005-08-31
201843,01W,150194,2005-09-01,2025-04-08
201844,01W,115114,1992-05-01,2015-03-12
201844,01W,150077,2015-03-13,2015-11-24
201844,01W,150194,2017-03-23,
201845,01W,115114,1993-11-01,2022-04-03
201846,01W,115114,1994-12-01,2022-04-03
201847,01W,115114,1992-05-01,2022-04-03
201848,01W,115114,1992-05-01,2022-04-03
201849,01W,115114,1992-05-01,2011-11-24
201850,01W,115114,1992-05-01,2006-03-30
201851,01W,115114,1992-05-01,2003-08-01
201852,01W,115114,1993-08-02,2022-04-03
201853,01W,115114,1992-05-01,2015-12-25
201854,01W,115114,1992-10-01,2002-06-24
201855,01W,115114,1992-05-01,2022-04-03
201856,01W,115114,1997-09-30,2002-01-28
201857,01W,115114,1992-05-01,1999-09-02
201858,01W,115114,1992-05-01,2022-04-03
201859,01W,115114,1992-05-01,2019-01-29
201860,01W,115114,1992-05-01,2016-06-03
201861,01W,115114,1992-05-01,2000-01-04
201862,01W,115114,1992-05-01,2001-11-21
201862,01W,150077,2001-11-22,2003-11-28
201862,01W,150194,2003-12-01,2025-04-08
201863,01W,115114,1994-10-03,2016-06-15
201863,01W,150194,2017-03-06,
201863,01W,150077,2016-06-17,2017-03-05
201864,01W,115114,1992-05-01,2016-11-01
201866,01W,115114,1992-05-01,2012-08-13
201867,01W,115114,1992-05-01,2015-08-14
201868,01W,115114,1993-09-01,2002-04-29
201869,01W,115114,1992-05-01,1999-03-03
201869,01W,150077,2013-08-30,2018-09-25
201870,01W,150072,1995-03-07,2003-04-24
201871,01W,115114,1992-05-01,2022-04-03
201872,01W,115114,1992-05-01,1997-03-17
201872,01W,150077,1997-03-18,2002-08-30
201872,01W,150194,2002-09-02,2012-04-27
201873,01W,115114,1992-05-01,2002-02-25
201874,01W,115114,1992-05-01,2022-04-03
201875,01W,115114,1992-05-01,2022-04-03
201876,01W,115114,1992-05-01,2022-04-03
201877,01W,115114,1992-05-01,2015-08-25
201877,01W,150077,2015-08-27,2016-02-04
201877,01W,150194,2016-02-05,2022-06-02
201878,01W,115114,1992-05-01,2005-06-29
201879,01W,115114,1992-06-01,2014-06-10
201879,01W,150077,2014-06-11,2014-11-27
201879,01W,150194,2014-11-28,2025-01-30
201880,01W,115114,1994-05-02,2009-06-30
201881,01W,115114,1992-05-01,1997-04-21
201882,01W,115114,1992-05-01,2022-04-03
201883,01W,115114,1993-08-02,1997-11-04
201883,01W,150077,1997-11-05,1999-07-30
201883,01W,150194,1999-08-02,2008-01-27
201886,01W,115114,1992-05-01,2012-10-01
201888,01W,115114,1992-05-01,2011-02-14
201889,01W,115114,1994-10-03,2016-06-01
201889,01W,150194,2016-06-03,
201890,01W,115114,1992-05-01,2008-01-30
201890,01W,150077,2008-02-29,2015-03-23
201890,01W,150194,2015-03-24,
201891,01W,115114,1994-03-01,2001-10-05
201891,01W,115114,2002-03-05,2022-04-03
201892,01W,150192,2000-10-02,
201892,01W,115114,1992-07-01,1996-09-27
201892,01W,150077,1996-09-30,1998-09-30
201892,01W,150194,1998-10-01,2025-04-08
201893,01W,115114,1992-05-01,2022-04-03
201894,01W,115114,1992-05-01,1999-09-24
201895,01W,115114,1992-05-01,2002-03-04
201896,01W,115114,1992-05-01,2001-10-01
201897,01W,115114,1992-05-01,2011-09-20
201897,01W,115114,2013-11-27,2022-04-03
201898,01W,115114,1992-05-01,2002-09-25
201899,01W,115114,1992-05-01,2006-02-28
201900,01W,115114,1994-05-02,2007-06-05
201901,01W,115114,1992-05-01,2022-04-03
201902,01W,115114,1994-08-01,2022-04-03
201903,01W,115114,1992-07-01,2022-04-03
201904,01W,115114,1992-05-01,2021-04-12
201905,01W,115114,1992-05-01,1997-01-03
201905,01W,150077,1997-01-06,2009-07-20
201905,01W,150194,2018-04-10,2025-01-30
201906,01W,115114,1992-05-01,2000-06-02
201906,01W,150077,2000-06-05,2003-04-30
201906,01W,150194,2003-05-01,2024-08-14
201907,01W,115114,1992-05-01,1997-10-01
201908,01W,115114,1992-11-02,1995-03-15
201908,01W,150194,2014-04-30,
201909,01W,115114,1995-01-23,2012-09-03
201910,01W,115114,1992-05-01,2004-06-28
201924,01W,115114,1992-05-01,1997-09-29
201925,01W,115114,1993-12-01,2012-03-08
201925,01W,150194,2013-04-02,2025-01-30
201926,01W,115114,1992-05-01,2022-02-28
201927,01W,115114,1992-05-01,2015-08-25
201927,01W,150077,2015-08-27,2016-05-30
201927,01W,150194,2016-05-31,
201928,01W,115114,1993-08-02,2012-11-30
201929,01W,150072,1995-03-07,2002-01-04
201929,01W,150072,2002-06-18,
201930,01W,115114,1992-05-01,1997-07-31
201930,01W,150077,2001-11-21,2004-03-26
201931,01W,115114,1992-05-01,2001-08-06
201932,01W,115114,1995-01-02,2003-12-08
201932,01W,150194,2003-12-09,2025-04-08
201933,01W,115114,1992-05-01,2022-04-03
201934,01W,115114,1992-05-01,2022-04-03
201935,01W,115114,1992-05-01,2000-10-05
201935,01W,150077,2000-10-06,2007-01-25
201936,01W,115114,1992-05-01,2021-07-28
201937,01W,115114,1992-05-01,2022-04-03
201937,01W,150194,2018-03-01,2025-01-30
201937,01W,150077,2013-07-31,2018-02-28
201938,01W,115114,1992-05-01,2003-10-03
201939,01W,115114,1992-11-02,2014-08-01
201940,01W,115114,1992-05-01,1997-01-03
201940,01W,150077,1997-01-06,2013-11-13
201940,01W,150194,2014-05-28,
201941,01W,115114,1992-05-01,2022-04-03
201942,01W,115114,1994-12-01,2011-04-19
201942,01W,150194,2012-06-30,
201943,01W,115114,1992-05-01,2022-04-03
201944,01W,115114,1994-02-01,1996-01-30
201944,01W,150077,1996-01-31,1997-08-29
201944,01W,150194,1997-09-01,2025-04-08
201945,01W,115114,1994-02-01,2005-03-15
201945,01W,150077,2005-04-19,2006-02-28
201945,01W,150194,2006-04-03,2025-01-30
201946,01W,150072,1995-03-07,
201947,01W,115114,1992-05-01,2022-04-03
201948,01W,115114,1992-05-01,2001-03-15
201948,01W,150077,2001-03-16,2005-11-30
201948,01W,150194,2006-01-04,2025-04-08
201949,01W,115114,1992-05-01,2022-04-03
201950,01W,115114,1992-07-01,2022-04-03
201951,01W,115114,1992-05-01,2022-04-03
201952,01W,115114,1992-05-01,2022-04-03
201953,01W,115114,1992-05-01,2012-04-03
201954,01W,115114,1992-05-01,2022-04-03
201955,01W,115114,1994-04-01,2022-04-03
201956,01W,115114,1992-05-01,1995-02-01
201956,01W,150077,1995-02-02,1998-09-24
201957,01W,115114,1992-05-01,2005-06-29
201958,01W,115114,1992-05-01,2005-06-24
201959,01W,115114,1992-05-01,2022-04-03
201960,01W,115114,1992-10-01,2004-07-30
201961,01W,115114,1992-05-01,1999-02-26
201961,01W,150077,1999-03-01,2000-02-29
201961,01W,150194,2000-03-01,2025-04-08
201962,01W,115114,1992-05-01,1997-01-03
201962,01W,150077,1997-01-06,1997-09-29
201962,01W,150077,2013-08-30,2022-04-03
201963,01W,115114,1992-05-01,2015-03-20
201963,01W,150077,2015-03-23,2018-03-14
201963,01W,150194,2018-03-15,2025-01-30
201964,01W,115114,1992-05-01,1999-11-26
201964,01W,150077,1999-11-29,2016-12-02
201965,01W,115114,1992-05-01,2022-04-03
201966,01W,115114,1993-09-01,2003-05-19
201967,01W,115114,1992-06-01,2022-04-03
201968,01W,115114,1993-07-01,2022-04-03
201969,01W,115114,1994-10-03,1999-03-23
201969,01W,150077,1999-03-24,2001-08-31
201969,01W,150194,2001-09-03,2025-04-08
201970,01W,115114,1993-07-01,2022-04-03
201971,01W,115114,1992-05-01,2022-04-03
201972,01W,150072,1995-03-07,
201973,01W,115114,1992-05-01,1999-12-15
201973,01W,150077,1999-12-16,2022-04-03
201974,01W,115114,1992-05-01,2012-04-11
201974,01W,150194,2013-03-15,
201974,01W,150069,2023-10-02,
201975,01W,115114,1992-05-01,2022-04-03
201976,01W,115114,1992-05-01,2022-04-03
201977,01W,150072,1995-03-07,1996-04-24
201978,01W,115114,1992-05-01,2022-04-03
201979,01W,115114,1992-05-01,2008-12-30
201980,01W,115114,1992-05-01,2021-09-28
201981,01W,115114,1992-05-01,1995-08-22
201982,01W,115114,1992-05-01,2022-04-03
201983,01W,115114,1992-05-01,2022-04-03
201984,01W,115114,1993-12-01,1996-09-12
201984,01W,150077,1996-09-13,2001-08-31
201984,01W,150194,2001-09-03,2025-04-08
201985,01W,115114,1992-05-01,2007-06-22
201986,01W,115114,1994-08-01,1997-04-03
201986,01W,150077,1997-04-04,1997-09-29
201986,01W,150077,2013-08-30,2022-04-03
201987,01W,115114,1992-05-01,2022-04-03
201988,01W,115114,1994-07-01,1996-01-30
201988,01W,150077,1995-10-02,2014-03-26
201989,01W,115114,1992-06-01,2008-01-30
201990,01W,115114,1994-12-01,2022-04-03
201991,01W,115114,1992-05-01,2004-11-25
201992,01W,115114,1994-04-01,2022-04-03
201993,01W,115114,1992-05-01,2003-07-09
201994,01W,115114,1992-05-01,2022-04-03
201995,01W,150192,2006-10-02,2013-09-30
201995,01W,115114,1992-05-01,2004-03-23
201995,01W,150194,2004-04-27,2025-04-08
201995,01W,160136,2004-04-27,
201996,01W,115114,1992-05-01,2007-09-04
201998,01W,115114,1992-05-01,2009-02-16
201999,01W,115114,1992-05-01,1997-04-18
201999,01W,150077,1997-04-21,1998-10-30
201999,01W,150194,1998-11-02,2024-10-22
202000,01W,150077,1987-06-30,2018-12-26
202004,01W,150061,1992-02-07,1999-04-23
202011,01W,150280,2001-11-28,2006-04-02
202013,02W,150061,1992-12-31,1997-09-04
202015,01W,150077,2004-01-13,2005-02-28
202015,01W,160136,2005-03-01,
202015,01W,150194,2005-03-01,2025-04-08
202019,01W,150061,1994-02-28,2011-01-31
202019,01W,150061,2013-03-18,2015-10-12
202023,01W,150061,1993-07-06,2001-08-10
202023,01W,150061,2002-07-11,2004-03-19
202023,01W,150061,2007-12-31,2020-06-21
202037,01W,150077,1987-06-30,2000-02-29
202037,01W,150194,2000-03-01,2025-04-08
202040,01W,150194,1985-12-31,2025-01-30
202041,01W,150077,1987-06-30,2014-01-23
202041,01W,150194,2014-04-30,2025-01-30
202042,01W,150072,1995-01-16,2002-01-04
202043,01W,150012,2006-06-12,2007-01-29
202046,01W,150061,1994-02-28,1997-06-02
202046,01W,150061,2001-09-03,2006-09-28
202048,01W,150061,1988-12-31,1989-01-20
202049,01W,150061,1988-12-31,1998-07-27
202056,01W,151337,2004-01-05,
202057,01W,150061,1992-02-07,2008-03-28
202058,01W,150376,2000-01-01,2000-09-12
202059,01W,150098,1996-10-23,2002-05-07
202059,01W,150098,2002-11-05,2003-04-15
202063,01W,150012,1989-03-09,2004-10-12
202064,01W,150012,1999-04-30,2001-10-24
202065,01W,150051,2002-12-09,2013-06-17
202074,02W,150086,1996-03-29,1997-10-30
202077,01W,150098,2001-11-06,2002-05-07
202077,01W,150098,2002-11-05,2007-12-21
202077,01W,150376,2000-01-01,2000-06-16
202079,01W,150061,1989-05-30,1990-11-29
202085,01W,150021,1994-11-03,1997-01-23
202086,01W,150021,1993-12-08,2007-12-21
202086,01W,150093,1995-02-09,1997-02-21
202086,01W,150378,2000-12-31,2005-01-28
202086,01W,150171,1993-12-08,2006-12-15
202086,01W,150376,2000-01-01,2005-01-28
202086,03W,150021,2008-09-22,
202086,03W,150376,2008-12-22,
