month,permno,in_sp500_proxy
2016-01,81696,1
2016-01,25582,1
2016-01,23229,1
2016-01,89014,1
2016-01,21207,1
2016-01,70500,1
2016-01,35044,1
2016-01,25419,1
2016-01,85631,1
2016-01,37284,1
2016-01,46886,1
2016-01,60986,1
2016-01,88661,1
2016-01,79637,1
2016-01,10299,1
2016-01,83906,1
2016-01,90601,1
2016-01,77661,1
2016-01,52090,1
2016-01,70308,1
2016-01,59010,1
2016-01,12448,1
2016-01,82651,1
2016-01,13447,1
2016-01,82581,1
2016-01,49015,1
2016-01,91207,1
2016-01,89002,1
2016-01,12062,1
2016-01,76095,1
2016-01,77281,1
2016-01,85914,1
2016-01,11896,1
2016-01,24643,1
2016-01,23473,1
2016-01,77606,1
2016-01,84373,1
2016-01,40272,1
2016-01,60206,1
2016-01,39538,1
2016-01,23579,1
2016-01,90199,1
2016-01,90520,1
2016-01,64995,1
2016-01,85459,1
2016-01,23660,1
2016-01,15456,1
2016-01,52978,1
2016-01,86021,1
2016-01,78987,1
2016-01,53065,1
2016-01,57568,1
2016-01,86979,1
2016-01,80080,1
2016-01,57817,1
2016-01,91461,1
2016-01,23085,1
2016-01,47626,1
2016-01,34032,1
2016-01,89216,1
2016-01,13168,1
2016-01,28804,1
2016-01,89509,1
2016-01,89508,1
2016-01,82686,1
2016-01,76082,1
2016-01,85621,1
2016-01,93223,1
2016-01,89866,1
2016-01,85753,1
2016-01,80204,1
2016-01,42877,1
2016-01,11600,1
2016-01,87717,1
2016-01,75100,1
2016-01,46922,1
2016-01,21186,1
2016-01,81655,1
2016-01,87299,1
2016-01,90386,1
2016-01,49373,1
2016-01,91277,1
2016-01,85926,1
2016-01,81736,1
2016-01,92203,1
2016-01,91983,1
2016-01,93101,1
2016-01,83621,1
2016-01,12650,1
2016-01,21792,1
2016-01,70033,1
2016-01,90979,1
2016-01,15553,1
2016-01,14558,1
2016-01,88873,1
2016-01,14570,1
2016-01,16432,1
2016-01,14179,1
2016-01,79859,1
2016-01,13911,1
2016-01,52708,1
2016-01,71271,1
2016-01,15404,1
2016-01,58819,1
2016-01,89269,1
2016-01,76639,1
2016-01,27991,1
2016-01,13314,1
2016-01,86097,1
2016-01,79698,1
2016-01,85593,1
2016-01,85645,1
2016-01,77659,1
2016-01,25953,1
2016-01,29938,1
2016-01,68857,1
2016-01,92778,1
2016-01,84723,1
2016-01,90090,1
2016-01,92402,1
2016-01,32986,1
2016-01,27983,1
2016-01,13628,1
2016-01,14608,1
2016-01,90992,1
2016-01,90829,1
2016-01,91611,1
2016-01,71175,1
2016-01,83862,1
2016-01,12981,1
2016-01,89353,1
2016-01,14926,1
2016-01,89533,1
2016-01,42906,1
2016-01,23501,1
2016-01,62308,1
2016-01,38762,1
2016-01,13627,1
2016-01,38093,1
2016-01,85072,1
2016-01,15069,1
2016-01,13904,1
2016-01,82272,1
2016-01,77357,1
2016-01,27043,1
2016-01,13949,1
2016-01,13035,1
2016-01,86964,1
2016-01,79785,1
2016-01,68196,1
2016-01,88664,1
2016-01,17726,1
2016-01,32803,1
