gvkey,gsector,ggroup,gind,gsubind
001261,20,2010,201060,20106020
001262,20,2030,203030,20303010
001263,15,1510,151040,15104050
001264,45,4510,451030,45103010
001265,15,1510,151040,15104030
001266,30,3020,302020,30202010
001267,,,,
001268,,,,
001269,30,3020,302020,30202030
001270,,,,
001271,25,2530,253010,25301020
001272,25,2550,255040,25504050
001273,,,,
001274,40,4030,403010,40301050
001275,55,5510,551020,55102010
001276,40,4040,404010,40401020
001277,20,2010,201060,20106020
001278,25,2520,252010,25201040
001279,55,5510,551010,55101010
001280,,,,
001281,45,4520,452010,45201020
001282,,,,
001283,45,4520,452010,45201020
001284,,,,
001285,25,2510,251010,25101020
001286,25,2550,255040,25504040
001287,,,,
001288,,,,
001289,,,,
001290,40,4010,401010,40101010
001291,,,,
001292,25,2550,255010,25501010
001293,,,,
001294,,,,
001295,,,,
001296,35,3510,351020,35102020
001297,20,2010,201060,20106010
001298,,,,
027346,40,4020,402010,40201020
001299,20,2020,202010,20201030
001300,20,2010,201050,20105010
001301,25,2550,255030,25503010
001302,30,3010,301010,30101030
001303,,,,
001304,,,,
001305,,,,
001306,20,2030,203040,20304020
001307,,,,
001308,10,1010,101010,10101020
001309,,,,
001310,20,2010,201040,20104010
001311,50,5010,501010,50101020
001312,15,1510,151040,15104020
001313,,,,
001314,,,,
001315,25,2540,254010,25401010
001316,,,,
001317,,,,
001318,50,5010,501020,50102010
001319,,,,
001320,,,,
001321,,,,
001322,,,,
001323,,,,
001324,20,2020,202010,20201050
001325,20,2030,203020,20302010
001326,,,,
001327,45,4530,453010,45301020
001328,25,2520,252010,25201050
001329,,,,
001330,,,,
001331,20,2010,201040,20104010
001332,40,4040,404010,40401020
001333,,,,
001334,45,4510,451020,45102010
001335,50,5010,501010,50101020
001336,50,5010,501010,50101020
001337,50,5010,501010,50101020
001338,10,1010,101020,10102020
001339,,,,
001340,,,,
001341,,,,
001342,,,,
001343,,,,
001344,25,2520,252010,25201010
001345,,,,
001346,35,3510,351020,35102010
001347,10,1010,101010,10101020
001348,15,1510,151040,15104050
001349,,,,
001350,45,4520,452020,45202010
001351,45,4520,452050,45205020
001352,,,,
001356,15,1510,151040,15104010
001357,15,1510,151040,15104010
001358,,,,
001359,35,3520,352020,35202010
001360,45,4510,451020,45102010
001361,25,2550,255010,25501010
001362,,,,
001363,25,2550,255040,25504040
001364,10,1010,101020,10102020
001365,15,1510,151040,15104020
001366,,,,
002483,20,2020,202010,20201030
001367,10,1010,101020,10102020
001368,,,,
001369,30,3020,302020,30202030
001370,35,3510,351020,35102010
001371,,,,
001372,25,2510,251010,25101010
001373,,,,
001374,55,5510,551020,55102010
001375,,,,
001376,,,,
001377,20,2020,202010,20201030
001378,20,2010,201030,20103010
001379,,,,
001380,10,1010,101020,10102020
001381,20,2030,203010,20301010
001382,20,2030,203020,20302010
001383,25,2530,253010,25301020
001384,15,1510,151020,15102010
001385,15,1510,151010,15101020
001386,30,3020,302020,30202030
001387,,,,
001388,20,2030,203020,20302010
001389,,,,
001390,,,,
001391,,,,
001392,45,4520,452020,45202010
001393,20,2030,203040,20304030
001394,30,3020,302020,30202030
001395,,,,
001396,,,,
001397,15,1510,151010,15101050
001402,,,,
001403,,,,
001408,30,3020,302010,30201020
001409,25,2540,254010,25401020
001410,20,2020,202010,20201050
001411,20,2020,202010,20201060
001412,20,2020,202010,20201030
001413,25,2530,253010,25301020
001414,40,4030,403010,40301020
001415,,,,
001416,40,4010,401010,40101010
001417,,,,
001418,40,4020,402010,40201010
001419,40,4010,401010,40101010
001420,,,,
001421,25,2510,251020,25102010
001422,25,2540,254010,25401020
001423,35,3510,351020,35102020
001424,,,,
001425,,,,
001426,40,4010,401010,40101010
001427,15,1510,151050,15105020
001428,,,,
001429,30,3020,302020,30202010
001430,35,3520,352020,35202010
001431,35,3510,351020,35102020
001432,20,2010,201060,20106020
001433,,,,
001434,20,2020,202010,20201030
001435,,,,
001436,,,,
001437,55,5510,551020,55102010
001438,,,,
001439,20,2020,202010,20201050
001440,55,5510,551010,55101010
002484,25,2550,255040,25504010
001441,15,1510,151040,15104010
001442,35,3510,351020,35102010
001443,10,1010,101020,10102020
001444,25,2530,253010,25301010
001445,,,,
001446,10,1010,101020,10102020
001447,40,4020,402020,40202010
001448,40,4020,402020,40202010
001449,40,4030,403010,40301020
001450,40,4020,402020,40202010
001451,25,2530,253010,25301040
001452,15,1510,151020,15102010
001453,15,1510,151010,15101020
001454,45,4510,451030,45103010
001455,,,,
001456,15,1510,151010,15101010
001457,,,,
001458,40,4010,401010,40101010
001459,,,,
001460,,,,
001461,10,1010,101020,10102020
001462,30,3020,302020,30202030
001463,25,2520,252010,25201020
001464,,,,
001465,40,4030,403010,40301020
001466,,,,
001467,,,,
001468,25,2520,252010,25201050
001469,,,,
001470,25,2510,251010,25101010
001471,,,,
001472,35,3510,351020,35102020
001473,25,2520,252010,25201050
001474,40,4030,403010,40301020
001475,25,2520,252010,25201050
001476,20,2010,201020,20102010
001477,35,3510,351020,35102020
001478,35,3520,352020,35202010
001479,20,2020,202010,20201030
001480,35,3510,351020,35102020
001481,35,3510,351010,35101010
001482,,,,
001483,,,,
001484,15,1510,151040,15104040
001485,50,5010,501010,50101020
001486,,,,
001487,40,4030,403010,40301040
001488,,,,
001489,,,,
001490,25,2550,255010,25501010
001491,15,1510,151030,15103020
001492,,,,
001493,,,,
001494,20,2030,203040,20304020
001495,25,2540,254010,25401010
001496,20,2020,202010,20201060
001497,35,3510,351020,35102020
001498,30,3020,302020,30202030
001499,,,,
001500,45,4510,451020,45102010
001501,,,,
001502,,,,
001503,,,,
001504,20,2020,202010,20201030
001505,,,,
001506,20,2010,201030,20103010
001507,,,,
001508,35,3510,351020,35102020
001509,35,3510,351020,35102010
001510,,,,
001511,45,4510,451010,45101010
001512,,,,
001513,50,5010,501020,50102010
001514,35,3520,352010,35201010
001515,40,4040,404010,40401020
001516,,,,
001517,25,2510,251020,25102010
001518,25,2530,253020,25302020
001519,,,,
001522,,,,
001523,35,3510,351020,35102015
001524,,,,
001525,25,2540,254010,25401030
001526,40,4030,403010,40301030
005248,40,4020,402010,40201010
001527,10,1010,101020,10102020
001528,,,,
001529,50,5010,501010,50101020
001530,20,2020,202010,20201050
001531,45,4520,452010,45201020
001532,55,5510,551020,55102010
001533,15,1510,151010,15101050
001534,,,,
001535,,,,
001536,25,2520,252010,25201030
001537,10,1010,101020,10102030
001538,45,4520,452010,45201020
001539,40,4030,403010,40301040
001540,40,4030,403010,40301030
001541,,,,
001542,20,2010,201060,20106020
001543,20,2030,203030,20303010
001544,10,1010,101020,10102020
001545,60,6020,602010,60201020
001546,25,2530,253010,25301030
001547,,,,
001548,,,,
001549,,,,
001550,10,1010,101020,10102020
001551,25,2530,253010,25301040
001552,,,,
001553,40,4010,401010,40101010
001554,20,2010,201010,20101010
001555,,,,
001556,40,4010,401010,40101010
001557,,,,
001558,20,2020,202010,20201030
001559,35,3510,351020,35102015
001560,20,2010,201060,20106010
001561,30,3010,301010,30101030
001562,45,4510,451030,45103010
001563,25,2550,255040,25504020
001564,25,2520,252010,25201050
001565,,,,
001566,20,2010,201020,20102010
001567,20,2010,201020,20102010
001568,,,,
001569,25,2550,255010,25501010
001570,40,4030,403010,40301010
001571,,,,
001572,,,,
001573,30,3010,301010,30101030
001574,15,1510,151040,15104020
001575,35,3510,351020,35102020
001576,,,,
001577,45,4520,452030,45203010
001578,,,,
001579,,,,
001580,,,,
001581,50,5010,501010,50101020
001582,,,,
001583,25,2540,254010,25401030
001584,40,4030,403010,40301010
001585,15,1510,151010,15101030
001586,25,2550,255040,25504040
001587,55,5510,551040,55104010
001588,,,,
001589,15,1510,151030,15103020
001590,40,4040,404010,40401010
001591,,,,
001592,,,,
001593,20,2010,201020,20102010
001594,25,2550,255030,25503020
001595,40,4010,401010,40101010
001596,,,,
001597,35,3510,351020,35102020
001598,20,2010,201040,20104010
001599,25,2550,255010,25501010
001600,25,2520,252030,25203020
001601,25,2530,253010,25301040
001602,35,3520,352010,35201010
001603,,,,
001604,,,,
001605,,,,
001606,20,2010,201060,20106020
001608,20,2010,201040,20104010
001609,10,1010,101020,10102010
001610,15,1510,151050,15105020
001611,20,2010,201070,20107010
001612,,,,
001613,15,1510,151040,15104050
001614,,,,
001615,,,,
001616,45,4520,452020,45202020
001617,10,1010,101020,10102020
001618,60,6020,602010,60201030
001619,40,4010,401010,40101015
001620,25,2520,252010,25201040
001623,20,2010,201060,20106020
001624,10,1010,101020,10102020
001625,,,,
001626,,,,
001627,45,4510,451020,45102020
001628,,,,
001629,10,1010,101020,10102020
001630,15,1510,151040,15104020
001631,,,,
001632,45,4530,453010,45301020
001633,35,3510,351010,35101010
001634,45,4510,451020,45102010
001635,45,4520,452010,45201020
001636,,,,
001637,,,,
001638,25,2520,252010,25201050
001639,,,,
001640,20,2020,202010,20201030
001641,50,5010,501010,50101010
001642,20,2010,201060,20106020
001643,30,3020,302020,30202030
001644,,,,
001645,15,1510,151040,15104020
001646,,,,
001647,45,4520,452010,45201020
001648,40,4040,404010,40401020
001649,45,4520,452030,45203010
001650,45,4520,452030,45203020
001651,45,4520,452010,45201020
001652,45,4520,452030,45203010
001653,,,,
001654,40,4040,404010,40401020
001655,20,2020,202010,20201030
001656,35,3510,351010,35101010
001657,35,3510,351010,35101010
001658,35,3510,351020,35102010
001659,30,3010,301010,30101020
001660,,,,
001661,10,1010,101010,10101010
001662,15,1510,151010,15101020
001663,30,3020,302010,30201010
001664,25,2520,252020,25202020
001665,25,2550,255010,25501010
001666,,,,
001667,20,2020,202010,20201030
001668,,,,
001669,55,5510,551040,55104010
001670,,,,
001671,,,,
001672,,,,
001673,10,1010,101020,10102020
001674,20,2010,201060,20106020
001675,45,4520,452030,45203010
001676,10,1010,101020,10102030
001677,25,2520,252020,25202010
001678,10,1010,101020,10102020
001679,,,,
001680,10,1010,101020,10102020
001681,15,1510,151040,15104020
001682,10,1010,101020,10102020
001683,,,,
001684,,,,
001685,40,4040,404010,40401020
001686,20,2010,201020,20102010
001687,20,2010,201030,20103010
001688,,,,
001689,55,5510,551010,55101010
001690,45,4520,452020,45202030
001691,,,,
001692,45,4520,452020,45202010
001693,35,3510,351010,35101010
001694,45,4510,451030,45103010
001695,35,3520,352020,35202010
001696,20,2010,201060,20106020
001697,,,,
001698,20,2020,202010,20201020
001699,45,4510,451030,45103010
001700,,,,
001701,,,,
001702,15,1510,151050,15105010
001703,45,4520,452020,45202020
001704,45,4530,453010,45301010
001705,20,2030,203030,20303010
001706,20,2010,201060,20106020
001707,45,4520,452050,45205020
001708,25,2520,252010,25201030
001709,,,,
001710,15,1510,151040,15104040
001711,,,,
001712,15,1510,151010,15101010
001713,10,1010,101020,10102020
001714,10,1010,101020,10102020
001715,25,2530,253020,25302020
001716,,,,
001717,30,3020,302020,30202020
001718,60,6020,602010,60201020
001719,,,,
001720,,,,
001721,10,1010,101020,10102030
001722,30,3020,302020,30202010
001723,,,,
001724,45,4520,452020,45202020
001725,,,,
001726,,,,
001727,,,,
001728,30,3010,301010,30101030
001729,30,3020,302020,30202030
001730,,,,
001731,,,,
001732,10,1010,101020,10102020
001733,10,1010,101020,10102020
001734,20,2010,201010,20101010
001735,,,,
001738,40,4020,402010,40201010
001739,40,4040,404010,40401020
001740,,,,
001741,40,4010,401010,40101010
001742,55,5510,551010,55101010
001743,20,2030,203040,20304030
001744,,,,
001745,55,5510,551010,55101010
001746,55,5510,551020,55102010
001747,,,,
001748,,,,
001749,25,2510,251010,25101010
001750,25,2520,252030,25203030
001751,40,4040,404010,40401010
001752,,,,
001753,15,1510,151040,15104020
001754,25,2520,252010,25201040
001755,15,1510,151040,15104050
001756,25,2550,255040,25504040
001757,,,,
001758,,,,
001759,,,,
001760,,,,
001761,25,2510,251010,25101020
001762,20,2010,201020,20102010
001763,,,,
001764,25,2550,255040,25504010
001765,,,,
001766,20,2030,203040,20304020
001767,,,,
001768,,,,
001769,,,,
001770,45,4510,451030,45103010
001771,45,4510,451030,45103010
001772,25,2510,251010,25101010
001773,45,4520,452030,45203030
001774,,,,
001775,25,2550,255040,25504040
001776,,,,
001777,,,,
001778,,,,
001779,45,4520,452020,45202020
001780,20,2020,202010,20201010
001781,45,4510,451010,45101010
001782,,,,
001783,20,2010,201060,20106015
001784,15,1510,151020,15102010
001785,,,,
001786,25,2510,251010,25101010
001787,,,,
001788,10,1010,101020,10102020
001789,15,1510,151040,15104020
001790,15,1510,151040,15104020
001791,,,,
001792,,,,
001793,,,,
001794,15,1510,151010,15101050
001795,45,4510,451030,45103010
001796,,,,
001797,10,1010,101020,10102020
001798,20,2020,202010,20201060
001799,,,,
001800,,,,
001801,,,,
001802,50,5010,501020,50102010
001803,25,2550,255030,25503010
001804,40,4020,402010,40201010
001805,,,,
001806,,,,
001807,30,3010,301010,30101020
001808,25,2530,253010,25301040
001809,,,,
001810,,,,
001811,40,4040,404010,40401010
001812,,,,
001813,,,,
001814,25,2520,252010,25201040
001815,,,,
001816,40,4020,402010,40201010
001817,20,2010,201040,20104020
001818,20,2020,202010,20201020
001819,20,2010,201040,20104010
001820,45,4520,452020,45202030
001821,,,,
001822,45,4520,452020,45202020
001823,20,2010,201010,20101010
001824,45,4520,452030,45203010
001825,,,,
001826,20,2030,203040,20304010
001827,,,,
001828,55,5510,551030,55103010
001829,20,2010,201040,20104010
001830,,,,
001831,40,4020,402010,40201020
001832,20,2010,201060,20106020
001833,15,1510,151040,15104050
001834,40,4040,404010,40401020
001835,20,2010,201030,20103010
001836,40,4040,404010,40401020
001837,55,5510,551020,55102010
001838,25,2530,253010,25301010
001839,,,,
001840,25,2550,255010,25501010
001841,,,,
001842,,,,
001843,55,5510,551010,55101010
001844,,,,
001845,,,,
001846,,,,
001847,20,2010,201010,20101010
008044,50,5010,501010,50101020
001848,10,1010,101020,10102010
001849,20,2030,203020,20302010
001850,,,,
001851,,,,
001852,25,2540,254010,25401020
001853,,,,
001854,,,,
001855,15,1510,151040,15104025
001856,15,1510,151040,15104030
001857,,,,
001858,20,2030,203010,20301010
001859,35,3510,351020,35102010
001860,10,1010,101010,10101010
001861,45,4520,452010,45201020
001862,25,2540,254010,25401030
001863,25,2520,252010,25201010
001864,10,1010,101020,10102030
001865,20,2010,201040,20104010
001866,20,2010,201040,20104010
001867,,,,
012223,40,4020,402010,40201020
001868,40,4030,403010,40301040
001869,,,,
001870,,,,
001871,,,,
001872,45,4520,452030,45203010
001873,20,2020,202010,20201030
001874,45,4510,451010,45101010
001875,45,4510,451030,45103020
001876,,,,
001877,45,4520,452030,45203010
001878,45,4510,451030,45103010
001879,,,,
001880,,,,
001881,,,,
001882,,,,
001883,,,,
001884,35,3510,351020,35102015
001885,,,,
001886,20,2020,202010,20201020
001887,,,,
001888,45,4510,451030,45103010
001889,,,,
001890,,,,
001891,20,2020,202020,20202010
001892,,,,
001893,,,,
001894,,,,
001895,25,2530,253010,25301040
001896,45,4510,451030,45103020
001897,,,,
001898,,,,
001899,20,2020,202010,20201030
001900,45,4520,452030,45203010
001901,45,4510,451030,45103020
001902,30,3030,303020,30302010
001903,10,1010,101020,10102020
001904,45,4510,451030,45103020
001905,45,4520,452050,45205020
001906,25,2520,252010,25201030
001907,,,,
001908,20,2010,201010,20101010
001909,40,4020,402010,40201010
001910,40,4030,403010,40301040
001911,,,,
001912,15,1510,151040,15104020
001913,15,1510,151030,15103020
001914,20,2010,201010,20101010
001915,20,2030,203010,20301010
001916,,,,
001917,,,,
001918,,,,
001919,45,4520,452030,45203030
001920,30,3030,303020,30302010
001921,25,2520,252030,25203030
001922,,,,
001923,45,4520,452010,45201020
001924,,,,
001925,,,,
001926,20,2010,201020,20102010
001927,,,,
001928,55,5510,551040,55104010
001929,10,1010,101020,10102020
001930,25,2520,252010,25201050
001931,,,,
001932,30,3020,302030,30203010
001933,25,2540,254010,25401010
001934,30,3020,302020,30202030
001935,,,,
001936,45,4510,451030,45103020
001937,45,4520,452010,45201020
001938,,,,
001939,45,4510,451030,45103010
001940,45,4520,452030,45203010
001941,20,2010,201040,20104010
001942,45,4510,451030,45103020
001943,20,2010,201040,20104010
001944,,,,
001945,15,1510,151010,15101040
001946,,,,
001947,,,,
001948,,,,
001949,60,6010,601060,60106010
001950,40,4010,401010,40101010
001951,35,3510,351010,35101010
001952,45,4510,451030,45103020
001953,45,4520,452030,45203010
001954,,,,
001955,,,,
001956,40,4040,404010,40401010
001957,,,,
001958,45,4510,451030,45103010
001960,45,4520,452010,45201020
001961,,,,
001962,,,,
001963,,,,
001964,,,,
001965,,,,
001966,30,3020,302010,30201020
001967,,,,
001968,45,4520,452030,45203010
001969,15,1510,151050,15105020
001970,35,3510,351010,35101010
001971,15,1510,151010,15101050
001972,,,,
001973,25,2540,254010,25401040
001974,20,2010,201030,20103010
001975,,,,
001976,10,1010,101010,10101020
001977,,,,
001978,45,4510,451030,45103020
001979,15,1510,151010,15101050
001980,15,1510,151050,15105010
001981,20,2010,201040,20104010
001982,40,4030,403010,40301040
001983,,,,
001984,10,1010,101020,10102020
001985,,,,
001986,40,4020,402010,40201010
001987,,,,
001988,15,1510,151030,15103010
001989,35,3510,351010,35101020
001990,25,2530,253010,25301010
001992,15,1510,151050,15105010
001993,20,2030,203040,20304010
001994,,,,
001995,55,5510,551050,55105010
001996,,,,
001997,,,,
001998,40,4010,401010,40101010
001999,,,,
016742,40,4010,401010,40101010
002000,40,4010,401010,40101010
002001,40,4010,401010,40101010
002002,40,4010,401010,40101015
002003,,,,
002004,40,4010,401010,40101010
002005,40,4010,401010,40101015
002006,45,4510,451020,45102010
002007,40,4010,401010,40101010
002008,25,2510,251010,25101020
002009,,,,
002010,40,4040,404010,40401020
002011,55,5510,551010,55101010
002012,,,,
002013,20,2010,201030,20103010
002014,40,4010,401010,40101010
002015,20,2010,201030,20103010
002016,,,,
002017,40,4010,401010,40101010
002019,40,4020,402030,40203010
002021,40,4010,401010,40101010
002022,40,4010,401010,40101010
002024,40,4010,401010,40101010
002025,40,4040,404020,40402050
002026,,,,
002028,25,2540,254010,25401010
002029,40,4010,401010,40101010
002030,30,3020,302010,30201030
002031,40,4010,401010,40101010
002032,40,4010,401010,40101010
002033,25,2520,252020,25202010
002034,20,2020,202010,20201010
002035,,,,
002036,45,4520,452020,45202020
002037,,,,
